tradition_id,name_cn,name_en,family,branch,term,gloss_cn,gloss_en,vector,mapping_note_cn
theravada_buddhism,上座部佛教,Theravāda Buddhism,Buddhist,Buddhism,viññāṇa,识,consciousness,D.SENSATION=0.30000000;I.DIFFERENCE=0.20000000;I.RELATION=0.30000000;K.SELF_MODEL=0.20000000,归一为依条件发生的识别过程而非固定灵魂。
theravada_buddhism,上座部佛教,Theravāda Buddhism,Buddhist,Buddhism,paṭicca-samuppāda,缘起,dependent origination,I.RELATION=0.40000000;K.CAUSE=0.40000000;K.META=0.10000000;K.WORLD_MODEL=0.10000000,归一为条件关系和生成模型。
theravada_buddhism,上座部佛教,Theravāda Buddhism,Buddhist,Buddhism,anattā,无我,not-self,I.BOUNDARY=0.20000000;K.META=0.30000000;K.SELF_MODEL=0.30000000;P.LIBERATION=0.20000000,归一为对实体自我模型的修订。
theravada_buddhism,上座部佛教,Theravāda Buddhism,Buddhist,Buddhism,nibbāna,涅槃,liberation,K.PRACTICE=0.20000000;P.LIBERATION=0.50000000;P.VERIFICATION=0.10000000;W.VALENCE=0.20000000,归一为苦灭目的及实践验证。
madhyamaka,中观,Madhyamaka,Buddhist,Mahāyāna Buddhism,śūnyatā,空性,emptiness,I.RELATION=0.30000000;K.CONCEPT=0.10000000;K.META=0.40000000;P.LIBERATION=0.20000000,归一为依缘、反自性和模型去实体化。
madhyamaka,中观,Madhyamaka,Buddhist,Mahāyāna Buddhism,pratītyasamutpāda,缘起,dependent origination,I.CONTEXT=0.10000000;I.RELATION=0.40000000;K.CAUSE=0.40000000;K.WORLD_MODEL=0.10000000,归一为条件生成网络。
madhyamaka,中观,Madhyamaka,Buddhist,Mahāyāna Buddhism,satya-dvaya,二谛,two truths,I.CONTEXT=0.40000000;I.TRANSLATION=0.20000000;K.META=0.30000000;W.MEANING=0.10000000,归一为不同语用和认识层级的语境对齐。
madhyamaka,中观,Madhyamaka,Buddhist,Mahāyāna Buddhism,bodhicitta,菩提心,awakening mind,P.FLOURISHING=0.30000000;P.INTENTION=0.30000000;W.NORM=0.20000000;W.VALENCE=0.20000000,归一为面向众生的觉醒意图与共同善。
yogacara,瑜伽行派／唯识,Yogācāra,Buddhist,Mahāyāna Buddhism,vijñapti-mātra,唯识／表象唯有,representation-only,D.SENSATION=0.20000000;I.PATTERN=0.20000000;K.META=0.30000000;K.WORLD_MODEL=0.30000000,归一为对经验呈现和模型构成的反思，不简化为个人随意创造现实。
yogacara,瑜伽行派／唯识,Yogācāra,Buddhist,Mahāyāna Buddhism,ālaya-vijñāna,阿赖耶识,storehouse consciousness,D.HISTORY=0.30000000;I.PATTERN=0.20000000;K.SELF_MODEL=0.20000000;P.CONTINUITY=0.30000000,归一为经验倾向与世界线连续模型。
yogacara,瑜伽行派／唯识,Yogācāra,Buddhist,Mahāyāna Buddhism,tri-svabhāva,三性,three natures,I.CONTEXT=0.20000000;I.TRANSLATION=0.10000000;K.CONCEPT=0.40000000;K.META=0.30000000,归一为经验构成的分层分析。
yogacara,瑜伽行派／唯识,Yogācāra,Buddhist,Mahāyāna Buddhism,āśraya-parāvṛtti,转依,transformation of the basis,K.META=0.30000000;K.PRACTICE=0.20000000;P.LIBERATION=0.30000000;P.VERIFICATION=0.20000000,归一为认知基础的可实践修订。
huayan_buddhism,华严宗,Huayan Buddhism,Buddhist,East Asian Mahāyāna,dharmadhātu,法界,dharma realm,I.RELATION=0.30000000;K.WORLD_MODEL=0.40000000;P.COMMUNION=0.10000000;W.MEANING=0.20000000,归一为关系化整体世界模型。
huayan_buddhism,华严宗,Huayan Buddhism,Buddhist,East Asian Mahāyāna,事事无碍,现象相互无碍,non-obstruction among phenomena,I.CONTEXT=0.20000000;I.RELATION=0.50000000;K.WORLD_MODEL=0.20000000;W.MEANING=0.10000000,归一为多尺度关系共存而非物理无限通信断言。
huayan_buddhism,华严宗,Huayan Buddhism,Buddhist,East Asian Mahāyāna,因陀罗网,因陀罗网,Indra's net,I.PATTERN=0.30000000;I.RELATION=0.40000000;K.WORLD_MODEL=0.20000000;W.MEANING=0.10000000,归一为互映关系的模型和象征。
huayan_buddhism,华严宗,Huayan Buddhism,Buddhist,East Asian Mahāyāna,菩萨行,菩萨实践,bodhisattva practice,K.PRACTICE=0.30000000;P.FLOURISHING=0.30000000;P.VERIFICATION=0.20000000;W.NORM=0.20000000,归一为价值—行动—现实返回闭环。
chan_zen,禅宗／禅,Chan/Zen,Buddhist,East Asian Buddhism,见性,见性,seeing one's nature,D.OBSERVATION=0.30000000;K.META=0.30000000;K.SELF_MODEL=0.20000000;P.LIBERATION=0.20000000,归一为对主体模型的直接观察与修订。
chan_zen,禅宗／禅,Chan/Zen,Buddhist,East Asian Buddhism,无念,无念,non-abiding thought,D.SENSATION=0.20000000;I.PATTERN=0.20000000;K.META=0.30000000;K.PRACTICE=0.30000000,归一为对思想模式不执著的训练。
chan_zen,禅宗／禅,Chan/Zen,Buddhist,East Asian Buddhism,坐禅,坐禅,seated meditation,D.BODY=0.20000000;K.PRACTICE=0.50000000;P.LIBERATION=0.10000000;P.VERIFICATION=0.20000000,归一为具身实践和经验校验。
chan_zen,禅宗／禅,Chan/Zen,Buddhist,East Asian Buddhism,不立文字,不以文字为终点,not relying on words as final authority,D.OBSERVATION=0.20000000;I.TRANSLATION=0.20000000;K.META=0.40000000;P.VERIFICATION=0.20000000,归一为对符号模型边界的反思，而非拒绝所有语言。
pure_land_buddhism,净土宗,Pure Land Buddhism,Buddhist,East Asian Mahāyāna,阿弥陀佛,无量光寿佛,Amitābha Buddha,K.WORLD_MODEL=0.20000000;P.COMMUNION=0.30000000;P.LIBERATION=0.30000000;W.VALENCE=0.20000000,归一为救度关系、价值感受和解脱目的。
pure_land_buddhism,净土宗,Pure Land Buddhism,Buddhist,East Asian Mahāyāna,信愿行,信、愿、实践,"faith, vow and practice",K.PRACTICE=0.30000000;P.INTENTION=0.30000000;P.VERIFICATION=0.20000000;W.MEANING=0.20000000,归一为意义—意图—实践闭环。
pure_land_buddhism,净土宗,Pure Land Buddhism,Buddhist,East Asian Mahāyāna,念佛,佛名忆念,buddha-remembrance,D.SENSATION=0.10000000;I.PATTERN=0.20000000;K.PRACTICE=0.40000000;P.CONTINUITY=0.30000000,归一为重复注意、记忆和传承实践。
pure_land_buddhism,净土宗,Pure Land Buddhism,Buddhist,East Asian Mahāyāna,净土,净土,pure land,K.WORLD_MODEL=0.30000000;P.FLOURISHING=0.20000000;P.LIBERATION=0.30000000;W.MEANING=0.20000000,归一为救度性可能世界与共同善目的。
jainism,耆那教,Jainism,Indic,Jain traditions,jīva,灵魂／生命主体,living soul,K.SELF_MODEL=0.40000000;P.AGENCY=0.20000000;P.CONTINUITY=0.20000000;W.VALENCE=0.20000000,归一为具有感受、行动与连续性的主体模型。
jainism,耆那教,Jainism,Indic,Jain traditions,ahiṃsā,非暴力,non-violence,P.AGENCY=0.10000000;P.FLOURISHING=0.20000000;W.CONSEQUENCE=0.30000000;W.NORM=0.40000000,归一为伤害约束和多生命共同善。
jainism,耆那教,Jainism,Indic,Jain traditions,anekāntavāda,多面论,many-sidedness,I.CONTEXT=0.30000000;I.TRANSLATION=0.20000000;K.META=0.40000000;W.TRADEOFF=0.10000000,归一为多视角模型和认识谦抑。
jainism,耆那教,Jainism,Indic,Jain traditions,kevala-jñāna/mokṣa,全知与解脱,perfect knowledge and liberation,K.META=0.20000000;P.LIBERATION=0.40000000;P.VERIFICATION=0.20000000;W.MEANING=0.20000000,归一为认识完成与解脱目的；不作为当前系统可认证状态。
sikhism,锡克教,Sikhism,Indic,Sikh tradition,Ik Oankar,唯一实在／一神,One Reality,K.REGULARITY=0.20000000;K.WORLD_MODEL=0.40000000;P.COMMUNION=0.30000000;W.MEANING=0.10000000,归一为统一终极世界模型和关系目的。
sikhism,锡克教,Sikhism,Indic,Sikh tradition,Naam Simran,圣名记念,remembrance of the Name,I.PATTERN=0.20000000;K.PRACTICE=0.30000000;P.COMMUNION=0.30000000;P.CONTINUITY=0.20000000,归一为记忆—注意—关系实践。
sikhism,锡克教,Sikhism,Indic,Sikh tradition,seva,服务,selfless service,K.PRACTICE=0.20000000;P.FLOURISHING=0.30000000;P.VERIFICATION=0.20000000;W.NORM=0.30000000,归一为伦理实践和现实结果。
sikhism,锡克教,Sikhism,Indic,Sikh tradition,haumai,自我中心性,ego-centeredness,K.META=0.30000000;K.SELF_MODEL=0.30000000;P.LIBERATION=0.20000000;W.CONSEQUENCE=0.20000000,归一为需修订的自我模型。
rabbinic_judaism,拉比犹太教,Rabbinic Judaism,Abrahamic,Judaism,berit,盟约,covenant,I.RELATION=0.30000000;P.CONTINUITY=0.20000000;W.LEGITIMACY=0.30000000;W.NORM=0.20000000,归一为授权、关系、规范和历史连续。
rabbinic_judaism,拉比犹太教,Rabbinic Judaism,Abrahamic,Judaism,Torah/mitzvot,托拉与诫命,Torah and commandments,D.HISTORY=0.10000000;K.PRACTICE=0.30000000;P.VERIFICATION=0.20000000;W.NORM=0.40000000,归一为传承知识、规范与生活实践。
rabbinic_judaism,拉比犹太教,Rabbinic Judaism,Abrahamic,Judaism,tzelem Elohim,上帝形象,image of God,K.SELF_MODEL=0.30000000;P.FLOURISHING=0.20000000;W.LEGITIMACY=0.20000000;W.NORM=0.30000000,归一为人格尊严、主体模型和伦理后果。
rabbinic_judaism,拉比犹太教,Rabbinic Judaism,Abrahamic,Judaism,tikkun olam,修复世界,repair of the world,P.AGENCY=0.20000000;P.FLOURISHING=0.40000000;P.VERIFICATION=0.20000000;W.NORM=0.20000000,归一为共同体行动与现实修复目的。
kabbalah,卡巴拉,Kabbalah,Abrahamic,Jewish mysticism,Ein Sof,无限者,the Infinite,K.REGULARITY=0.20000000;K.WORLD_MODEL=0.40000000;P.COMMUNION=0.20000000;W.MEANING=0.20000000,归一为超越性终极世界模型和关系方向。
kabbalah,卡巴拉,Kabbalah,Abrahamic,Jewish mysticism,sefirot,神性流溢／属性结构,emanational attributes,I.PATTERN=0.30000000;I.TRANSLATION=0.20000000;K.WORLD_MODEL=0.30000000;W.MEANING=0.20000000,归一为象征—关系结构，不等同基础物理场。
kabbalah,卡巴拉,Kabbalah,Abrahamic,Jewish mysticism,Shekhinah,神圣临在,divine presence,D.OBSERVATION=0.10000000;I.RELATION=0.30000000;P.COMMUNION=0.40000000;W.VALENCE=0.20000000,归一为临在经验、关系与共同体意义。
kabbalah,卡巴拉,Kabbalah,Abrahamic,Jewish mysticism,tikkun,修复,repair,P.AGENCY=0.20000000;P.FLOURISHING=0.30000000;P.VERIFICATION=0.30000000;W.CONSEQUENCE=0.20000000,归一为修复性行动和现实返回。
eastern_orthodox_christianity,东正教,Eastern Orthodox Christianity,Abrahamic,Christianity,theosis,神化／成神,deification by grace,K.PRACTICE=0.20000000;P.COMMUNION=0.40000000;P.LIBERATION=0.20000000;W.MEANING=0.20000000,归一为关系参与和生命转化目的，不是本体数值同一。
eastern_orthodox_christianity,东正教,Eastern Orthodox Christianity,Abrahamic,Christianity,Logos,道／圣言,Logos,I.RELATION=0.20000000;K.REGULARITY=0.30000000;K.WORLD_MODEL=0.30000000;P.COMMUNION=0.20000000,归一为创造—意义—关系世界模型。
eastern_orthodox_christianity,东正教,Eastern Orthodox Christianity,Abrahamic,Christianity,person/hypostasis,位格／人格,person or hypostasis,I.BOUNDARY=0.20000000;I.RELATION=0.30000000;K.SELF_MODEL=0.30000000;W.LEGITIMACY=0.20000000,归一为不可化约而关系性的主体模型。
eastern_orthodox_christianity,东正教,Eastern Orthodox Christianity,Abrahamic,Christianity,hesychia/prayer,静默与祈祷,stillness and prayer,D.OBSERVATION=0.20000000;K.PRACTICE=0.40000000;P.COMMUNION=0.20000000;P.INTENTION=0.20000000,归一为具身祈祷、注意和关系实践。
roman_catholic_christianity,罗马天主教,Roman Catholic Christianity,Abrahamic,Christianity,imago Dei,天主肖像／上帝形象,image of God,K.SELF_MODEL=0.30000000;P.FLOURISHING=0.20000000;W.LEGITIMACY=0.30000000;W.NORM=0.20000000,归一为人格尊严、主体性和伦理授权。
roman_catholic_christianity,罗马天主教,Roman Catholic Christianity,Abrahamic,Christianity,anima forma corporis,灵魂为身体形式,soul as form of body,D.BODY=0.20000000;I.RELATION=0.30000000;K.SELF_MODEL=0.30000000;P.CONTINUITY=0.20000000,归一为身心统一的人格模型，不等于可测物质成分。
roman_catholic_christianity,罗马天主教,Roman Catholic Christianity,Abrahamic,Christianity,caritas,爱德,charity,P.COMMUNION=0.30000000;P.FLOURISHING=0.20000000;W.NORM=0.30000000;W.VALENCE=0.20000000,归一为价值、规范与共同善。
roman_catholic_christianity,罗马天主教,Roman Catholic Christianity,Abrahamic,Christianity,salvation/sacrament,救赎与圣事,salvation and sacrament,K.PRACTICE=0.20000000;P.COMMUNION=0.30000000;P.CONTINUITY=0.20000000;P.LIBERATION=0.30000000,归一为救赎目的、实践与传统连续。
protestant_christianity,新教／宗教改革传统,Protestant Christianity,Abrahamic,Christianity,sola gratia/fides,唯独恩典／因信,grace and faith,P.COMMUNION=0.30000000;P.INTENTION=0.20000000;P.LIBERATION=0.30000000;W.MEANING=0.20000000,归一为信任、救赎和关系目的。
protestant_christianity,新教／宗教改革传统,Protestant Christianity,Abrahamic,Christianity,vocation,召命,calling,P.AGENCY=0.30000000;P.FLOURISHING=0.30000000;P.INTENTION=0.20000000;W.NORM=0.20000000,归一为角色、行动和共同善目的。
protestant_christianity,新教／宗教改革传统,Protestant Christianity,Abrahamic,Christianity,conscience,良知,conscience,K.META=0.20000000;K.SELF_MODEL=0.20000000;P.VERIFICATION=0.30000000;W.NORM=0.30000000,归一为自我评估、规范和行动校验。
protestant_christianity,新教／宗教改革传统,Protestant Christianity,Abrahamic,Christianity,repentance,悔改,repentance,K.META=0.30000000;P.LIBERATION=0.20000000;P.VERIFICATION=0.30000000;W.CONSEQUENCE=0.20000000,归一为错误承认、模型修订和生活转向。
sunni_islam,逊尼派伊斯兰,Sunni Islam,Abrahamic,Islam,tawḥīd,认主独一,divine unity,I.BOUNDARY=0.20000000;K.REGULARITY=0.20000000;K.WORLD_MODEL=0.40000000;P.COMMUNION=0.20000000,归一为终极一神世界模型、创造者—受造物边界与关系方向。
sunni_islam,逊尼派伊斯兰,Sunni Islam,Abrahamic,Islam,niyyah,意向,intention,K.SELF_MODEL=0.10000000;P.INTENTION=0.50000000;P.VERIFICATION=0.20000000;W.NORM=0.20000000,归一为行动前的目的与道德可评估性。
sunni_islam,逊尼派伊斯兰,Sunni Islam,Abrahamic,Islam,ʿadl/raḥma,公正与慈悯,justice and mercy,P.FLOURISHING=0.20000000;W.NORM=0.40000000;W.TRADEOFF=0.20000000;W.VALENCE=0.20000000,归一为价值、规范与社会后果。
sunni_islam,逊尼派伊斯兰,Sunni Islam,Abrahamic,Islam,ʿibāda,崇拜／侍奉,worship and service,K.PRACTICE=0.30000000;P.COMMUNION=0.30000000;P.CONTINUITY=0.20000000;P.INTENTION=0.20000000,归一为实践、记忆和关系目的。
twelver_shia_islam,十二伊玛目什叶派,Twelver Shia Islam,Abrahamic,Islam,imāmah,伊玛目引导,spiritual-political guidance,I.RELATION=0.20000000;K.PRACTICE=0.20000000;P.CONTINUITY=0.30000000;W.LEGITIMACY=0.30000000,归一为权威、传承和引导关系。
twelver_shia_islam,十二伊玛目什叶派,Twelver Shia Islam,Abrahamic,Islam,ʿadl,神圣正义,divine justice,K.REGULARITY=0.20000000;P.HARMONY=0.20000000;W.CONSEQUENCE=0.20000000;W.NORM=0.40000000,归一为宇宙—伦理秩序。
twelver_shia_islam,十二伊玛目什叶派,Twelver Shia Islam,Abrahamic,Islam,shahāda/Karbala memory,见证与卡尔巴拉记忆,witness and memory,D.HISTORY=0.30000000;P.CONTINUITY=0.30000000;W.NORM=0.20000000;W.VALENCE=0.20000000,归一为历史记录、苦难价值和共同体连续。
twelver_shia_islam,十二伊玛目什叶派,Twelver Shia Islam,Abrahamic,Islam,intizār,等待与希望,expectation,P.CONTINUITY=0.30000000;P.HARMONY=0.30000000;P.INTENTION=0.20000000;W.MEANING=0.20000000,归一为面向未来正义的目的结构。
sufism,苏菲主义,Sufism,Abrahamic,Islamic mysticism,dhikr,记主,remembrance,I.PATTERN=0.20000000;K.PRACTICE=0.30000000;P.COMMUNION=0.30000000;P.CONTINUITY=0.20000000,归一为重复记忆、注意和关系实践。
sufism,苏菲主义,Sufism,Abrahamic,Islamic mysticism,nafs,自我／欲性层面,self or egoic soul,K.META=0.30000000;K.SELF_MODEL=0.40000000;P.LIBERATION=0.20000000;W.VALENCE=0.10000000,归一为可训练和修订的主体结构。
sufism,苏菲主义,Sufism,Abrahamic,Islamic mysticism,fanāʾ/baqāʾ,消融与存续,passing away and abiding,K.SELF_MODEL=0.20000000;P.COMMUNION=0.30000000;P.CONTINUITY=0.20000000;P.LIBERATION=0.30000000,归一为自我中心消解和在关系中持续，不等同物理消失。
sufism,苏菲主义,Sufism,Abrahamic,Islamic mysticism,maḥabba,神爱,divine love,P.COMMUNION=0.40000000;P.INTENTION=0.10000000;W.NORM=0.20000000;W.VALENCE=0.30000000,归一为价值感受、伦理和关系目的。
zoroastrianism,琐罗亚斯德教,Zoroastrianism,Iranian,Iranian religion,Ahura Mazda,智慧之主,Wise Lord,K.REGULARITY=0.20000000;K.WORLD_MODEL=0.30000000;P.HARMONY=0.30000000;W.NORM=0.20000000,归一为智慧、真理秩序和终极世界模型。
zoroastrianism,琐罗亚斯德教,Zoroastrianism,Iranian,Iranian religion,Asha,真理／正序,truth and right order,I.PATTERN=0.10000000;K.REGULARITY=0.30000000;P.HARMONY=0.30000000;W.NORM=0.30000000,归一为描述—规范—目的相连的正序。
zoroastrianism,琐罗亚斯德教,Zoroastrianism,Iranian,Iranian religion,Vohu Manah,善思,Good Mind,K.SELF_MODEL=0.20000000;P.AGENCY=0.20000000;P.INTENTION=0.30000000;W.NORM=0.30000000,归一为认知、价值意向和行动能力。
zoroastrianism,琐罗亚斯德教,Zoroastrianism,Iranian,Iranian religion,frashokereti,宇宙更新,final renovation,P.CONTINUITY=0.20000000;P.FLOURISHING=0.30000000;P.HARMONY=0.30000000;P.LIBERATION=0.20000000,归一为未来整体修复目的。
bahai_faith,巴哈伊信仰,Bahá’í Faith,Abrahamic,Bahá’í,oneness of humanity,人类一体,oneness of humanity,I.RELATION=0.30000000;P.FLOURISHING=0.30000000;W.LEGITIMACY=0.20000000;W.NORM=0.20000000,归一为关系、平等规范和全球共同善。
bahai_faith,巴哈伊信仰,Bahá’í Faith,Abrahamic,Bahá’í,progressive revelation,渐进启示,progressive revelation,D.HISTORY=0.20000000;I.CONTEXT=0.20000000;K.WORLD_MODEL=0.20000000;P.CONTINUITY=0.40000000,归一为历史语境中的宗教知识连续模型。
bahai_faith,巴哈伊信仰,Bahá’í Faith,Abrahamic,Bahá’í,independent investigation,独立求真,independent investigation of truth,D.OBSERVATION=0.20000000;K.META=0.30000000;P.AGENCY=0.20000000;P.VERIFICATION=0.30000000,归一为主体审查与现实校验。
bahai_faith,巴哈伊信仰,Bahá’í Faith,Abrahamic,Bahá’í,consultation,磋商,consultation,I.RELATION=0.20000000;P.FLOURISHING=0.20000000;W.LEGITIMACY=0.30000000;W.TRADEOFF=0.30000000,归一为集体判断、授权和共同善。
philosophical_daoism,哲学道家,Philosophical Daoism,Sinitic,Daoist philosophy,道,道,Dao/Way,I.RELATION=0.20000000;K.REGULARITY=0.20000000;K.WORLD_MODEL=0.30000000;P.HARMONY=0.30000000,归一为生成性世界秩序、关系和协调目的，不等同物理场。
philosophical_daoism,哲学道家,Philosophical Daoism,Sinitic,Daoist philosophy,无为,无为,non-coercive action,K.PRACTICE=0.20000000;P.AGENCY=0.30000000;P.HARMONY=0.20000000;W.TRADEOFF=0.30000000,归一为低强制、情境适应和行动权衡。
philosophical_daoism,哲学道家,Philosophical Daoism,Sinitic,Daoist philosophy,自然,自然而然,self-so/naturalness,I.PATTERN=0.20000000;K.CAUSE=0.20000000;P.HARMONY=0.40000000;W.MEANING=0.20000000,归一为自发生成、模式和协调目的。
philosophical_daoism,哲学道家,Philosophical Daoism,Sinitic,Daoist philosophy,齐物,齐物／视角转化,equalizing things/perspectives,I.CONTEXT=0.30000000;K.META=0.30000000;P.LIBERATION=0.20000000;W.TRADEOFF=0.20000000,归一为视角反思与从固着分类中释放。
religious_daoism,道教修炼与宗教传统,Religious Daoist Cultivation,Sinitic,Daoism,气,气／生命过程概念,qi/vital process,D.BODY=0.20000000;I.PATTERN=0.30000000;I.RELATION=0.20000000;K.CAUSE=0.20000000;P.HARMONY=0.10000000,归一为身体—环境过程、模式和调节概念；默认不等同标准模型力场。
religious_daoism,道教修炼与宗教传统,Religious Daoist Cultivation,Sinitic,Daoism,精气神,精、气、神,"essence, qi and spirit",D.BODY=0.20000000;I.PATTERN=0.20000000;K.PRACTICE=0.30000000;K.SELF_MODEL=0.20000000;P.CONTINUITY=0.10000000,归一为修炼模型的分层变量。
religious_daoism,道教修炼与宗教传统,Religious Daoist Cultivation,Sinitic,Daoism,炼养,炼养／内修,internal cultivation,D.OBSERVATION=0.20000000;K.PRACTICE=0.40000000;P.HARMONY=0.20000000;P.VERIFICATION=0.20000000,归一为具身实践和经验反馈。
religious_daoism,道教修炼与宗教传统,Religious Daoist Cultivation,Sinitic,Daoism,长生／得道,长生与得道,longevity and realization,P.COMMUNION=0.20000000;P.CONTINUITY=0.20000000;P.LIBERATION=0.30000000;W.MEANING=0.30000000,归一为生命连续和超越目的，经验范围需另行声明。
classical_confucianism,古典儒家,Classical Confucianism,Sinitic,Confucian,仁,仁,humaneness,I.RELATION=0.20000000;P.FLOURISHING=0.30000000;W.NORM=0.30000000;W.VALENCE=0.20000000,归一为关怀价值、关系规范和共同善。
